Listagem dos Filmes Brasileiros Lançados Comercialmente em Salas de Exibição 1995 a 2021;;;;;;;;;;;;
Ano de Lançamento;CPB;Título;Direção;Gênero;Empresa Produtora Brasileira Majoritária;UF;Empresa Produtora Minoritária Brasileira;UF2;Distribuidora;Máximo de Salas;Público;Renda (R$)
2014;B1402146400000;Hélio Oiticica;Cesar Oiticica Filho;Documentário;Guerrilha Filmes;RJ;Videofilmes;RJ;Nossa Distribuidora;9;4078;48711,96
2014;B1402269700000;Ilegal;Raphael Erichsen/Tarso Araujo;Documentário;3Film;SP;-;-;Espaço Filmes;25;5659;73888,54
2014;B1302053700000;Insônia;Beto Souza;Ficção;Panda Filmes;RS;Arte Lux Produções/Okna Produções;PR/RS;Espaço Filmes;8;2079;25215,7
2014;B1402406800000;Irmã Dulce;Vicente Amorim;Ficção;Migdal Filmes;RJ;Globo Filmes/Lereby/Telecine;RJ/RJ/RJ;Downtown/Paris;143;205157;2373703,61
2014;B1402233800000;Isolados;Tomas Portella;Ficção;Media Bridge;RJ;-;-;Downtown/Paris;181;81367;910796,46
2014;B1101366000000;Jardim Europa;Mauro Baptista Vedia;Ficção;Kashhmyr Audiovisual/Plano Geral Produções;SP/SP;Limiar;SP;Raiz Distribuidora;2;1593;15288
2014;B1301938400000;Jogo Das Decapitações;Sérgio Bianchi;Ficção;Agravo Produções Cinematográficas;SP;-;-;Pandora Filmes;8;1355;14162,07
2014;B1402107400000;Jogo De Xadrez;Luis Antonio Pereira;Ficção;Eclectic Entertainment;RJ;-;-;Elo Company;10;521;6707,83
2014;B1402115000000;Julio Sumiu;Roberto Berliner;Ficção;Globo Filmes;RJ;Tv Zero Cinema/B Silva Redatores/Telecine/Riofilme;RJ/RJ/RJ/RJ;Imagem;259;179745;2237498,32
2014;B1402176400000;Junho;João Wainer;Documentário;Folhapress;SP;-;-;O2 Play;14;3706;48219,09
2014;B1301810400000;La Playa D. C.;Juan Andrés Arango;Ficção;Bananeira Filmes;RJ;-;-;Tucumán;3;536;5447,5
2014;B1402243500000;Lascados;Vitor Mafra;Ficção;Santa Rita Filmes;SP;Manoel Batista;-;Santa Rita Filmes;41;25999;327317,11
2014;B1302057500000;Latitudes;Felipe Braga;Ficção;Losbragas Produções;RJ;House Entertainment/Alice Braga/Daniel De Oliveira;RJ/-/-;O2 Play;5;1505;17987,79
2014;B1402543500000;Made In China;Estevão Ciavatta;Ficção;Globo Filmes;RJ;Pindorama Filmes/Conspiração Filmes/Guel Produtora;RJ/RJ/RJ;H2O Films;396;381889;4171611,46
2014;B1302025600000;Mar Negro;Rodrigo Aragão;Ficção;Fábulas Negras Produções Artísticas;ES;-;-;Petrini;ND;ND;ND
2014;B1402261200000;Meninos Da Vila - A Magia Dos Santos;Kátia Lund;Documentário;Canal Azul;SP;-;-;Elo Company;4;35;393,22
2014;B1001288800000;Meninos De Kichute;Luca Amberg;Ficção;Amberg Filmes;SP;-;-;Pandora Filmes;13;2005;17950,98
2014;B1201544500000;Mentiras Sinceras;Pedro Asbeg;Documentário;Cavideo Produções/Link Digital;RJ/RJ;-;-;Livres Filmes;1;200;1260
2014;B1302041800000;Minutos Atrás;Caio Soh;Ficção;Caio Soh/Maria Farinha Filmes;RJ/SP;Vinte E Dois Gestão Cultural/Canal Brasil;SP/RJ;H2O Films;11;860;8530,29
2014;B1302050600000;Muita Calma Nessa Hora 2;Felipe Joffily;Ficção;Casé Filmes/Globo Filmes;RJ/RJ;Idéias Ideais;RJ;Downtown/Paris;422;1429862;15888595,19
2014;B1402126100000;Mão Na Luva;José Joffily/Roberto Bomtempo;Ficção;Movimento Carioca Produções Artísticas/Sala2 Cinemavídeo;RJ/MG;Canal Brasil;RJ;Ab Filmes;5;740;9678,4
2014;B1402380600000;Na Quebrada;Fernando Grostein Andrade/Paulo Eduardo;Ficção;Spray Filmes;SP;Globo Filmes/Maiomidia Comunicação;RJ/RJ;Downtown/Paris;218;256046;2948394,64
2014;B1402201100000;Não Pare Na Pista: A Melhor História De Paulo Coelho;Daniel Augusto;Ficção;Dama Filmes;SP;-;-;Sony;299;94145;1143063,46
2014;B1402260600000;O Candidato Honesto;Roberto Santucci;Ficção;Camisa Listrada/Panorama Filmes;RJ/RJ;Telecine;RJ;Downtown/Paris;595;2237776;24827669,51
2014;B1402192100000;O Casamento De Gorete;Paulo Vespúcio;Ficção;Paisagem Filmes;RJ;Globo Filmes;RJ;Europa;100;92246;998440,05
2014;B1301996600000;O Grande Kilapy;Zézé Gamboa;Ficção;Raiz Produções;SP;-;-;Imovision;3;618;7624,21
2014;B1402214200000;O Homem Das Multidões;Cao Guimarães/Marcelo Gomes;Ficção;Cinco Em Ponto;MG;Rec Produtores Associados;PE;Espaço Filmes;17;11532;132702,4
2014;B1301926100000;O Lobo Atrás Da Porta;Fernando Coimbra;Ficção;Gullane;SP;Cabra Filmes/Tc Filmes/Cineclube Pela Madrugada;SP/SP/RJ;Imagem;29;26710;346178,94
2014;B1301989000000;O Menino E O Mundo;Alê Abreu;Animação;Filme De Papel;SP;-;-;Espaço Filmes;22;61152;633901,25
2014;B1402175100000;O Menino No Espelho;Guilherme Fiúza Zenha;Ficção;Camisa Listrada/Solo Filmes;RJ/MG;Canal Brasil;RJ;Downtown/Paris;13;22864;223420,21
2014;B1402139200000;O Mercado De Notícias;Jorge Furtado;Documentário;Casa De Cinema De Porto Alegre;RS;-;-;Espaço Filmes;16;13324;152694,21
2014;B1402245600000;O Segredo Dos Diamantes;Helvécio Ratton;Ficção;Quimera Filmes;MG;-;-;Espaço Filmes;19;8308;95432,86
2014;B1402693700000;O Senhor Do Labirinto;Geraldo Motta Filho;Ficção;Tibet Filme;RJ;-;-;E.H. Produções;10;3293;34977,07
2014;B1402682900000;O Vento Lá Fora;Marcio Debellian;Documentário;Quitanda;RJ;-;-;Biscoito Fino;3;3340;43338
2014;B1302025400000;O Último Lance De Um Leilão;Fabricio Cavalcanti/Orides Vicente;Ficção;Platéia Filmes/Voltado Para O Trono;SP/SP;-;-;Sam Rádio Pictures;ND;ND;ND
2014;B1302060500000;Olho Nu;Joel Pizzini;Documentário;Canal Brasil/Paloma Cinematográfica;RJ/DF;Matogrosso Produções Artísticas/Teleimage/Polofilme;RJ/SP/MS;Vitrine Filmes;22;9435;103867,83
2014;B1402155300000;Operários Da Bola;Virna Smith;Documentário;Virna Smith Produções;DF;-;-;Espaço Filmes;11;175;1942,42
2014;B1402192700000;Os Amigos;Lina Chamie;Ficção;Girafa Filmes;SP;Dezenove Som E Imagens;SP;Imovision;24;5513;69936,81
2014;B1402271000000;Os Caras De Pau Em O Misterioso Roubo Do Anel;Felipe Joffily;Ficção;Casé Filmes;RJ;Globo Filmes/Imagem/Lereby/Ítaca Films;RJ/SC/RJ/RJ;Imagem;527;1892337;22614310,17
2014;B1402150900000;Os Dias Com Ele;Maria Clara Escobar;Documentário;Aeroplano Produções/Filmes De Abril;SP/SP;Klaxon Cultura Audiovisual;SP;Vitrine Filmes;9;1048;12157,17
2014;B1402137200000;Os Homens São De Marte... E É Para Lá Que Eu Vou;Marcus Baldini;Ficção;Biônica Filmes;SP;Globo Filmes/Telecine/Br3 Produções;RJ/RJ/RJ;Downtown/Paris;465;1793239;21750981,39
2014;B1402118500000;Ozualdo Candeias E O Cinema;Eugenio Puppo;Documentário;Heco Produções;SP;-;-;Tucumán;1;269;1545
2014;B1001167100000;Pau Brasil;Fernando Belens;Ficção;Truque;BA;Fernando Belens/Studio Brasil Cinema E Televisão/Teleimage;-/BA/SP;Caliban;2;301;3516,04
2014;B1402146300000;Praia Do Futuro;Karim Aïnouz;Ficção;Coração Da Selva;SP;-;-;Califórnia;114;133086;1728214,85
2014;B1302031600000;Quando Eu Era Vivo;Marco Dutra;Ficção;Camisa Treze Cultural;SP;-;-;Vitrine Filmes;25;7731;86851,32
2014;B1301939800000;Remar É...;Valério Fonseca;Documentário;Valério Fonseca;RJ;-;-;Raconto Produções Artísticas;1;91;903
2014;B1402186400000;Rio Em Chamas;Daniel Caetano;Documentário;Cavideo Produções;RJ;-;-;Cavideo Produções;1;970;4875
2014;B1402269500000;Rio, Eu Te Amo;Andrucha Waddington/Carlos Saldanha/Fernando Meirelles/Guillermo Arriaga/John Turturro/José Padilha/Nadine Labaki/Paolo Sorrentino/Sangsoo Im/Stephan Elliott/Vicente Amorim;Ficção;Conspiração Filmes;RJ;Bossa Nova Films/Empyrean Pictures/Oz.;SP/RJ/RJ;Warner;248;98990;1239716
2014;B1302034400000;Riocorrente;Paulo Sacramento;Ficção;Olhos De Cão;SP;Saracura Filmes/Tc Filmes;SP/SP;Califórnia;12;3970;51295,98
2014;B1201628900000;Ritos De Passagem;Chico Liberato;Animação;Liberato Produções Culturais;BA;-;-;Pipa Produções;2;966;5224,5
2014;B1402106900000;S. O. S. Mulheres Ao Mar;Cris D'Amato;Ficção;Ananã Produções;RJ;Globo Filmes/Lereby;RJ/RJ;Disney;450;1776579;20732500
2014;B1402173200000;Sem Pena;Eugenio Puppo;Documentário;Heco Produções;SP;Instituto De Defesa Do Direito De Defesa (Iddd);SP;Espaço Filmes;13;7434;94240,62
2014;B1301754000000;Sementes Do Nosso Quintal;Fernanda Heinz Figueiredo;Documentário;Zinga;SP;-;-;Aiuê Filmes;3;2192;21416,16
2014;B1402151100000;Setenta;Emilia Silveira;Documentário;70 Filmes/Cavideo Produções;RJ/RJ;Globo Filmes/Canal Brasil/Jom Tob De Azulay;RJ/RJ/RJ;Livres Filmes;7;1249;17330,87
2014;B1302014400000;Sobre Sete Ondas Verdes Espumantes;Bruno Polidoro/Cacá Nazario;Documentário;Besouro Filmes;RS;-;-;Boulevard Filmes;3;1128;6271
2014;B1402285000000;Sobrevivente Urbano;José Claudio Silva;Ficção;Ze'S Produções;RJ;-;-;Ze'S Produções;5;366;4156
2014;B1402202200000;Sobrevivi Ao Holocausto;Caio Cobra/Marcio Pitliuk;Documentário;Cash Cow;PR;Pit Cult;SP;Downtown/Paris;6;1699;22981,07
2014;B1402635200000;Sopro;Marcos Pimentel;Documentário;Tempero Filmes;MG;Anavilhana;MG;Lume Produções Cinematográficas;6;1350;6431,57
2014;B1402178100000;Tarja Branca;Cacau Rhoden;Documentário;Maria Farinha Filmes;SP;-;-;Ideias Maria Farinha;15;14892;193057,4
2014;B1402168700000;Tim Lopes – História De Arcanjo;Guilherme Azevedo;Documentário;Globo Filmes;RJ;Companhia Cinematográfica Filmi Di Luzzi/Avexi Filmes/Bruno Quintella;RJ/RJ/RJ;Europa;16;1676;21160,31
2014;B1402280500000;Tim Maia;Mauro Lima;Ficção;Rt Features;SP;-;-;Downtown/Paris;540;777699;10266056,05
2014;B1402294200000;Trash - A Esperança Vem Do Lixo;Stephen Daldry;Ficção;O2 Filmes;SP;-;-;Universal;266;259283;3040946,35
2014;B1402332500000;Trinta;Paulo Machline;Ficção;Primo Filmes;SP;Paulo Machline;SP;Fox;55;21783;286907
2014;B1402065100000;Uma Dose Violenta De Qualquer Coisa;Gustavo Galvão;Ficção;400 Filmes/Gustavo Galvão;DF/-;-;-;Okna Produções;13;3667;37165,79
2014;B1402449000000;Uma Passagem Para Mário;Eric Laurence;Documentário;Laurence Produções;PE;Zquatro Studio/Ateliê Produções/Ideiaimagem;PE/PE/PE;Laurence Produções;9;2462;14091,52
2014;B1402265700000;Ventos De Agosto;Gabriel Mascaro;Ficção;Desvia;PE;-;-;Vitrine Filmes;22;8109;90138,42
2014;B1402156100000;Vermelho Brasil;Sylvain Archambault;Ficção;Conspiração Filmes;RJ;Conspiração Filmes;RJ;H2O Films;9;538;6555,01
2014;B1402241100000;Vestido Pra Casar;Gerson Sanginitto;Ficção;Raconto Filmes;RJ;Sophia Filmes/New Group Cine & Tv;RJ/RJ;Imagem;491;1258720;14756458,84
2014;B1402145600000;À Queima Roupa;Theresa Jessouroun;Documentário;Urca Filmes;RJ;Kinofilmes;RJ;Downtown;3;1372;17486,66
2015;B1500311000000;#Garotas;Alex Medeiros;Ficção;Accorde Filmes;RS;Alex Medeiros/Rafael Costa;-;Downtown/Paris;14;969;13780,08
2015;B1500723200000;5X Chico - O Velho E Sua Gente;Ana Rieper/Camilo Cavalcante/Eduardo Goldenstein/Eduardo Nunes/Gustavo Spolidoro;Documentário;3 Tabela Filmes;RJ;Globo Filmes;RJ;Arthouse;8;1149;11667,67
2015;B1402159000000;A Casa De Cecília;Clarissa Appelt;Ficção;Clarissa Appelt;RJ;-;-;Clarissa Appelt Baptista San Roman;1;142;1488,55
2015;B1500554400000;A Esperança É A Última Que Morre;Calvito Leal;Ficção;Mpc Filmes;RJ;Telecine;RJ;Downtown/Paris;150;107590;1427955,29
2015;B1402125800000;A Estrada 47;Vicente Ferraz;Ficção;Três Mundos Produções;RJ;Primo Filmes;SP;Europa;52;34358;439151,77
2015;B1500591500000;A Floresta Que Se Move;Vinícius Coimbra;Ficção;Globo Filmes;RJ;Eh! Filmes/Telecine;RJ/RJ;Vinny Filmes;49;8581;110064,97
2015;B1402133800000;A História Da Eternidade;Camilo Cavalcante;Ficção;Ac Cavalcante Serviços;PE;República Pureza Filmes/Canal Brasil;RJ/RJ;Arthouse;12;13061;114221,88
2015;B1201643000000;A Hora E A Vez De Augusto Matraga;Vinícius Coimbra;Ficção;Prodigo Films;SP;-;-;Nossa Distribuidora;15;2499;34440,19
2015;B1402730900000;A Lei Da Água;André D'Elia;Documentário;Cinedelia;SP;O2 Fillmes;SP;O2 Play;9;1645;35167,27
2015;B1500105700000;A Nação Que Não Esperou Por Deus;Lucia Murat/Rodrigo Hinrichsen;Documentário;Taiga Filmes E Vídeo;RJ;-;-;Vitrine Filmes;7;1472;12119,59
2015;B1500265900000;A Viagem De Yoani;Peppe Siffredi/Raphael Bottino;Documentário;Sala 12;SP;Tornado Filmes;SP;Elo Company;9;1001;17409,62
2015;B1402781000000;A Vida Privada Dos Hipopótamos;Maíra Bühler/Matias Mariani;Documentário;Primo Filmes;SP;-;-;Vitrine Filmes;11;1674;12534,3
2015;B1001197000000;Alucinados;Roberto Santucci;Ficção;Panorama Filmes;RJ;-;-;Downtown;2;115;1383,85
2015;B1402446800000;Amor, Plástico E Barulho;Renata Pinheiro;Ficção;Aroma Filmes;PE;Canal Brasil;RJ;Boulevard Filmes;12;5665;32087,71
2015;B1402543600000;Anna K.;José Roberto Aguilar;Ficção;Preta Portê Filmes;SP;Canal Brasil;RJ;Preta Portê Filmes;6;719;10008,88
2015;B1402089600000;Aprendi A Jogar Com Você;Murilo Salles;Documentário;Cinema Brasil Digital;RJ;-;-;Nossa Distribuidora;7;49;704
2015;B1500713000000;Aqui Deste Lugar;Fernando Coimbra/Sérgio Machado;Documentário;Gullane;SP;Janela Do Mundo;BA;Gullane Entretenimento;1;153;2161
2015;B1500451800000;Ato, Atalho E Vento;Marcelo Masagão;Documentário;Um Minuto;SP;-;-;Agência Observatório;2;722;11879,24
2015;B1500801000000;Através;André Michiles/Diogo Martins/Fabio Bardella;Ficção;Estrangeira Filmes;SP;Haikai Filmes;SP;Estrangeira Filmes;3;505;5949
2015;B1402219600000;Até Que A Casa Caia;Mauro Giuntini;Ficção;Plateau Filmes;DF;Luciana Teixeira/Casa Forte Produções Artísticas;-/RJ;Polifilmes/Plateau Filmes;11;1347;13902,03
2015;B1500904200000;Até Que A Sorte Nos Separe 3;Marcelo Antunez/Roberto Santucci;Ficção;Gullane;SP;-;-;Downtown/Paris;819;3335670;42263286,12
2015;B1500276200000;Ausência;Chico Teixeira;Ficção;Bossa Nova Films;SP;G.T Produções Cinematográficas/Anhangabau Produções;SP/SP;Imovision;11;4030;53501,93
2015;B1402718400000;Batguano;Tavinho Teixeira;Ficção;Vermelho Profundo/Tavinho Teixeira;PB/-;-;-;Vermelho Profundo;2;294;2804
2015;B1402710300000;Beira-Mar;Filipe Matzembacher/Marcio Reolon;Ficção;Avante Filmes;RS;-;-;Vitrine Filmes;27;11211;142014,14
2015;B1500840400000;Bem Casados;Aluizio Abranches;Ficção;Hare Filmes;RJ;-;-;Imagem;445;545829;6940418,06
2015;B1500712100000;Betinho - A Esperança Equilibrista;Victor Lopes;Documentário;Documenta Filmes;RJ;Globo Filmes;RJ;Elo Company;12;2152;32770,33
2015;B1402653000000;Branco Sai Preto Fica;Adirley Queirós;Ficção;Cinco Da Norte Cine;DF;-;-;Vitrine Filmes;20;19130;213293,63
2015;B1500340300000;Califórnia;Marina Person;Ficção;Lauper Films;SP;Mira Filmes;SP;Vitrine Filmes;25;13849;192329,74
2015;B1500315900000;Caminho De Volta;José Joffily/Pedro Rossi;Documentário;Coevo Filmes;RJ;Canal Brasil;RJ;Vilacine;4;809;8280,5
2015;B1402391100000;Campo De Jogo;Eryk Rocha;Documentário;Aruac Produções/Filmegraph;RJ/MG;-;-;Tucumán;9;2279;28511,88
2015;B1500453100000;Carrossel - O Filme;Alexandre Boury/Mauricio Eça;Ficção;Paris Entretenimento;RJ;-;-;Downtown/Paris;616;2537628;27221239,28
2015;B1402131600000;Casa Grande;Fellipe Gamarano Barbosa;Ficção;Migdal Filmes;RJ;Gamarosa/Guiza Produções Audiovisuais;RJ/RJ;Film Connection/Imovision;33;38075;524262,14
2015;B1402144900000;Cativas - Presas Pelo Coração;Joana Nin;Documentário;Sambaqui Cultural;PR;Globosat/Horizonte;RJ/RJ;Moro Comunicação;3;1999;19550,5
2015;B1402259600000;Cauby - Começaria Tudo Outra Vez;Nelson Hoineff;Documentário;Comalt - Comunicação Alternativa;RJ;Canal Brasil;RJ;Comalt;14;7418;87099,19
2015;B1001208900000;Chatô - O Rei Do Brasil;Guilherme Fontes;Ficção;Guilherme Fontes Filmes;RJ;-;-;Milocos Entretenimento;51;67061;1001282,58
2015;B1500777500000;Chico - Artista Brasileiro;Miguel Faria Jr.;Documentário;1001 Filmes;RJ;Globo Filmes;RJ;Sony;52;126376;1904190,24
2015;B1402144800000;Cidade De Deus, 10 Anos Depois;Cavi Borges/Luciano Vidigal;Documentário;Berny Filmes/Cavideo Produções;RJ/RJ;-;-;Livres Filmes;24;3633;31770,34
2015;B1500743500000;Circo Voador - A Nave;Tainá Menezes;Documentário;Acasa/Kanoa Filmes;RJ/RJ;-;-;Cine Santa Teresa;8;948;12223,5
2015;B1500399800000;Condado Macabro;André De Campos Mello/Marcos Debrito;Ficção;Debrito Produções Cinematográficas;SP;-;-;Elite Filmes;3;523;6695,92
2015;B1500018400000;Cássia Eller;Paulo Henrique Fontenelle;Documentário;Migdal Filmes;RJ;Globosat;RJ;H2O Films;47;75133;952434,35
2015;B1500671700000;Damas Do Samba;Susanna Lira;Documentário;Modo Operante Produções;RJ;Ebc Tv Brasil;RJ;Elo Company;9;716;7772,36
2015;B1402209700000;De Gravata E Unha Vermelha;Miriam Chnaiderman;Documentário;Sequência 1;SP;-;-;Imovision;5;3548;49546,21
2015;B1402082600000;Depois Da Chuva;Cláudio Marques/Marilia Hughes Guerreiro;Ficção;Coisa De Cinema;BA;-;-;Espaço Filmes;14;16247;185152,29
2015;B1500344400000;Depois De Tudo;Johnny Araújo;Ficção;Casé Filmes;RJ;Rio Ms - Produções Artísticas/Mrp Produções Culturais/Rinoceronte Produções;RJ/SP/RJ;Imagem;141;21768;282661,93
2015;B1500335800000;Divã A 2;Paulo Fontenelle;Ficção;Total Entertainment;RJ;Telecine/Ítaca Films;RJ/RJ;Downtown/Paris;315;164589;1982583,38
2015;B1402480100000;Dois Casamentos;Luiz Rosemberg Filho;Ficção;Cavideo Produções;RJ;Canal Brasil;RJ;Livres Filmes;2;380;4536,42
2015;B1500422800000;Dromedário No Asfalto;Gilson Vargas;Ficção;Pata Negra;RS;Boomboom/Ponto Cego;RS/RS;Lança Filmes;7;2290;26107,01
2015;B1402117400000;Eduardo Coutinho, 7 De Outubro;Carlos Nader;Documentário;Sesc;SP;-;-;Sesc;6;587;8884,83
2015;B1500818400000;Em Três Atos;Lucia Murat;Ficção;Taiga Filmes E Vídeo;RJ;-;-;Imovision;7;2096;30777,17
2015;B1500558500000;Entrando Numa Roubada;André Moraes;Ficção;Urca Filmes;RJ;Aquarela/Mistika;DF/SP;Europa;240;131220;1654741,76
2015;B1500183700000;Entre Abelhas;Ian Sbf;Ficção;Mixer Rio;RJ;Globo Filmes;RJ;Imagem;342;438782;5738814,7
2015;B1402246600000;Estranhos;Paulo Alcântara;Ficção;Araçá Azul Cinema E Vídeo;BA;-;-;Araçá Azul;1;427;5338,5
2015;B1302013600000;Eu Nunca;Kauê Telloli;Ficção;Saliva Shots;SP;Kaue Tk Produções;SP;Elo Company;3;491;5970,38
2015;B1101456300000;Fala Sério!;Augusto Sevá;Ficção;Albatroz Cinematográfica;SP;-;-;Raiz Distribuidora;2;499;4028
2015;B1500186700000;Filme Sobre Um Bom Fim;Boca Migotto;Documentário;Epifania Filmes;RS;-;-;Boulevard Filmes;2;4503;39724
2015;B1402202100000;Guitarra Baiana: A Voz Do Carnaval;Daniel Talento;Documentário;Tia Maria Filmes;RJ;-;-;Tia Maria Filmes;1;273;3914
2015;B1402218500000;Hamlet;Cristiano Burlan;Ficção;Bela Filmes;SP;-;-;Bela Filmes;1;307;3771
2015;B1500543600000;Hermógenes, Professor E Poeta Do Yoga;Bárbara Tavares;Documentário;Bodhgaya Films;RJ;-;-;Bodhgaya Films;8;7680;114746,33
2015;B1402195100000;Hipóteses Para O Amor E A Verdade;Rodolfo García Vázquez;Ficção;Os Satyros Cinema;SP;-;-;Raiz Distribuidora;4;1711;20728,5
2015;B1301899200000;Homem Comum;Carlos Nader;Documentário;Já Filmes;SP;-;-;Vitrine Filmes;9;1970;24120,65
2015;B1301730400000;Hysteria;Ava Rocha/Evaldo Mocarzel;Documentário;Casa Azul Produções;SP;-;-;Raiz Distribuidora;2;675;4701
2015;B1402378700000;Infância;Domingos De Oliveira;Ficção;Teatro Ilustre Produções Artísticas;RJ;Forte Filmes/Telecine;RJ/RJ;Forte Filmes;9;3517;49818,28
2015;B1402071500000;Insubordinados;Edu Felistoque;Ficção;Felistoque Filmes;SP;Kinoosfera Filmes/Canal Brasil/Reza Brava Filmes;SP/RJ/SP;Pandora Filmes;13;777;7940,96
2015;B1201663300000;Iván;Guto Pasko;Documentário;Gp7 Cinema;PR;-;-;Moro Comunicação;8;2440;27877,41
2015;B1500575600000;Jia Zhang-Ke, Um Homem De Fenyang;Walter Salles;Documentário;Videofilmes;RJ;-;-;Videofilmes;11;6689;74647,54
2015;B1500543200000;Linda De Morrer;Cris D'Amato;Ficção;Migdal Filmes;RJ;Globo Filmes/Maiomidia Comunicação/Telecine;RJ/RJ/RJ;Fox;522;948542;12186625
2015;B1500224200000;Los Hermanos: Esse É Só O Começo Do Fim Da Nossa Vida;Maria Ribeiro;Documentário;Casa Na Arvore Produções/Rinoceronte Produções;RJ/RJ;Globosat/Horizonte;RJ/RJ;Copacabana Filmes;16;10332;210134,28
2015;B1402704900000;Loucas Pra Casar;Roberto Santucci;Ficção;Glaz Entretenimento;RJ;Globo Filmes/Telecine/Maiomidia Comunicação;RJ/RJ/RJ;Downtown/Paris;604;3726547;45688069,53
2015;B1402475600000;Meia Hora E As Manchetes Que Viram Manchete;Angelo Defanti;Documentário;Sobretudo Produção;RJ;-;-;Boulevard Filmes;4;962;8972,66
2015;B1402250900000;Memórias Da Boca;Alfredo Sternheim/Antonio Ciambra/Clery Cunha/Diogo Gomes Dos Santos/Diomédio Piskator/José Mojica Marins/Mário Vaz Filho/Valdir Baptista;Documentário;Cumamuê Cinema;SP;-;-;Filmikka Produções;1;243;3301
2015;B1500257500000;Metanóia;Miguel Nagle;Ficção;Cia. Palco Del'Arte;SP;4U Films;RJ;Europa;63;58176;758160,42
2015;B1500437700000;Meu Passado Me Condena 2;Júlia Rezende;Ficção;Atitude Produções;RJ;Globo Filmes/Maiomidia Comunicação;RJ/RJ;Downtown/Paris;618;2639935;32941689,75
2015;B1201696600000;Meus Dois Amores;Luiz Henrique Rios;Ficção;Diler & Associados;RJ;Globo Filmes/Olho De Boi Produções/Thijoana Filmes/Roteiraria Conteúdos;RJ/RJ/RJ/RJ;Downtown/Paris;39;22661;281806,53
2015;B1402201200000;Muitos Homens Num Só;Mini Kerti;Ficção;Tambellini Filmes;RJ;Canal Brasil;RJ;Downtown/Paris;12;2836;45857,25
2015;B1402825200000;Mulheres No Poder;Gustavo Acioli;Ficção;Lavoro Produções;RJ;Afinal Filmes/Canal Brasil;RJ/RJ;Downtown/Paris;14;7804;107063,44
2015;B1500543700000;Ninguém Ama Ninguém...Por Mais De Dois Anos;Clovis Mello;Ficção;Cine;SP;Vulpeculae Produções;RJ;Europa;63;11833;155169,99
2015;B1101348800000;No Meio Do Rio, Entre As Árvores;Jorge Bodanzky;Documentário;Jorge Roberto Bodanzky;SP;-;-;Raiz Distribuidora;2;229;2739
2015;B1402391600000;O Amuleto;Jeferson De;Ficção;Buda Filmes/Contraponto;SP/SC;-;-;Downtown/Paris;19;2722;30432,99
2015;B1500177000000;O Dia Do Galo;Cris Azzi/Luiz Felipe Fernandes;Documentário;Alicate Conteúdo Audiovisual;MG;Cris Azzi/Nitro Editorial;MG/MG;Delícia Filmes;13;30141;362537,74
2015;B1500193000000;O Duelo;Marcos Jorge;Ficção;Total Entertainment;RJ;Warner/Grapiuna Produções Artísticas;SP/RJ;Warner;73;14337;184598
2015;B1402667500000;O Fim De Uma Era;Bruno Safadi/Ricardo Pretti;Documentário;Daza Filmes;RJ;Alumbramento/Tb Produções/Canal Brasil/Teleimage Productions;CE/RJ/RJ/SP;Daza Filmes;2;228;2312,18
2015;B1301987400000;O Fim E Os Meios;Murilo Salles;Ficção;Cinema Brasil Digital;RJ;-;-;Nossa Distribuidora;17;1049;9774,93
2015;B1500149400000;O Gorila;José Eduardo Belmonte;Ficção;Camisa Treze Cultural;SP;-;-;Camisa Treze;4;1401;17391,89
2015;B1301872000000;O Rio Nos Pertence;Ricardo Pretti;Ficção;Daza Filmes;RJ;Alumbramento/Tb Produções/Canal Brasil/Teleimage;CE/RJ/RJ/SP;Daza Filmes;1;189;1569,23
2015;B1301871900000;O Uivo Da Gaita;Bruno Safadi;Ficção;Daza Filmes;RJ;Tb Produções/Alumbramento/Canal Brasil/Teleimage;RJ/CE/RJ/SP;Daza Filmes;2;301;3051,73
2015;B1402689400000;O Vendedor De Passados;Lula Buarque De Hollanda;Ficção;Conspiração Filmes;RJ;Espiral;RJ;Imagem/Conspiração;208;80335;1026924,65
2015;B1402197800000;O Último Cine Drive-In;Iberê Carvalho;Ficção;Pavirada Filmes;DF;Ligocki Entretenimento/Chroma Consultoria;DF/DF;Vitrine Filmes;46;13028;168756,54
2015;B1500768500000;O Último Poema;Mirela Kruel;Documentário;Besouro Filmes;RS;-;-;Lança Filmes;6;1626;15423,68
2015;B1402156500000;Obra;Gregorio Graziosi;Ficção;Superfilmes;SP;-;-;Vitrine Filmes;13;4276;53735,87
2015;B130174300000;Onde Borges Tudo Vê;Taciano Valério;Ficção;Taciano Valério;PE;-;-;Lume Produções Cinematográficas;1;13;30
2015;B1500701300000;Operações Especiais;Tomas Portella;Ficção;Tc Filmes;SP;Globo Filmes/Maiomidia Comunicação;RJ/RJ;Downtown/Paris;321;348322;4392871,68
2015;B1500868700000;Oração Do Amor Selvagem;Chico Faganello;Ficção;Filmes Que Voam;SC;-;-;Pandora Filmes;14;1601;18044,24
2015;B1500448600000;Orestes;Rodrigo Siqueira;Documentário;C R Produções;SP;-;-;7Estrelo Filmes;11;2790;33480,07
2015;B1402275800000;Os Maias - Cenas Da Vida Romântica;João Botelho;Ficção;Raccord Produções;RJ;-;-;Arthouse;10;2319;24888,74
2015;B1402108000000;Os Tubarões De Copacabana;Rosario Boyer;Ficção;Internacional Produções;RJ;-;-;Internacional Produções De Cinema E Vídeo;1;58;766,3
